,Unnamed: 0,date,target,insult,tweet,mainTweetTarget
19,20,2015-06-26,john-roberts,my judicial appointments will do the right thing unlike... Roberts,"If I win the presidency, my judicial appointments will do the right thing unlike Bush's appointee John Roberts on ObamaCare.",Hilary
20,21,2015-06-28,new-york-daily-news,dying tabloid,".@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!",Hilary
21,22,2015-06-28,mort-zuckerman,dopey clown,".@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!",Hilary
22,23,2015-06-28,new-york-daily-news,it is dead,".@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!",Hilary
23,24,2015-06-29,saudi-arabia,"without us, gone!","Saudi Arabia should be paying the United States many billions of dollars for our defense of them. Without us, gone! @AlWaleedbinT",Hilary
24,25,2015-06-30,mexico,not our friend,"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!",Hilary
25,26,2015-06-30,mexico,they're killing us,"I love the Mexican people, but Mexico is not our friend. They're killing us at the border and they're killing us on jobs and trade. FIGHT!",Hilary
26,27,2015-07-01,macys,weak on border security,"For all of those who want to #MakeAmericaGreatAgain, boycott @Macys. They are weak on border security & stopping illegal immigration.",Hilary
27,28,2015-07-01,george-pataki,"terrible governor of NY, one of the worst",".@GovernorPataki was a terrible governor of NY, one of the worst -- would’ve been swamped if he ran again!",Hilary
28,29,2015-07-01,george-pataki,couldn't be elected dog catcher if he ran again,.@GovernorPataki couldn’t be elected dog catcher if he ran again—so he didn’t!,Hilary
29,30,2015-07-01,macys,racists,"Interesting that @Macys criticized me but just paid $650,000 in fines for racial profiling. Are they racists?",Hilary
30,31,2015-07-01,macys,they 'racial profile' all over the place,Who is @Macys to pretend innocence when they “racial profile” all over the place? Paid big fine!,Hilary
31,32,2015-07-02,macys,Macy's stock just dropped,.@Macys stock just dropped. Interesting. So many people calling to say they are cutting up their @Macys credit card. Thank you!,Hilary
32,33,2015-07-02,macys,so many people calling to say they are cutting up their Macy's credit card,.@Macys stock just dropped. Interesting. So many people calling to say they are cutting up their @Macys credit card. Thank you!,Hilary
33,34,2015-07-02,macys,terrible hypocrites,Why doesn’t somebody study the horrible charges brought against @Macys for racial profiling? Terrible hypocrites!,Hilary
34,35,2015-07-02,barack-obama,weak & ineffective,Obama once again just missed a self-imposed deadline with Iran. Our leadership is weak & ineffective. Double the sanctions!,Hilary
35,36,2015-07-03,southern-border,totally out of control,Our Southern border is totally out of control. This is an absolutely disgraceful. situation.http://t.co/ujz3jENIYo We need border security!,Hilary
36,37,2015-07-03,southern-border,absolutely disgraceful,Our Southern border is totally out of control. This is an absolutely disgraceful. situation.http://t.co/ujz3jENIYo We need border security!,Hilary
37,38,2015-07-03,juan-williams,you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture,.@TheJuanWilliams you never speak well of me & yet when I saw you at Fox you ran over like a child and wanted a picture. Please share pic!,Hilary
38,39,2015-07-05,paulina-vega,hypocrite,"Miss Universe, Paulina Vega, criticized me for telling the truth about illegal immigration, but then said she would keep the crown-Hypocrite",Hilary
39,40,2015-07-05,rick-perry,failed at the border,Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.,Hilary
40,41,2015-07-05,rick-perry,needs a new pair of glasses,Rick Perry failed at the border. Now he is critical of me. He needs a new pair of glasses to see the crimes committed by illegal immigrants.,Hilary
41,42,2015-07-05,jeb-bush,will never secure the border,Flashback – Jeb Bush says illegal immigrants breaking our laws is an “act of love” http://t.co/p8yFzVuw8w He will never secure the border.,Hilary
42,43,2015-07-07,united-states,has become a dumping ground for the world,.@AnnCoulter U were great last nite @ericbolling on FOX. Our country has become a dumping ground for the world--I'll get it to stop & fast!,Hilary
43,44,2015-07-07,macys,Wow! I hear that thousands of people are cutting up their Macy's credit card,Wow! I hear that thousands of people are cutting up their @Macys credit card. That's great. #MakeAmericaGreatAgain!,Hilary
44,45,2015-07-09,charles-krauthammer,a dope,Do you believe that highly overrated political pundit @krauthammer said this is the best Republican field in 35 years. What a dope!,Hilary
45,46,2015-07-09,charles-krauthammer,highly overrated,Do you believe that highly overrated political pundit @krauthammer said this is the best Republican field in 35 years. What a dope!,Hilary
46,47,2015-07-09,george-w-bush,not nice!,"Jeb's brother George insisted on a $100,000 fee and $20,000 for a private jet to speak at a charity for severely wounded vets. Not nice!",Hilary
47,48,2015-07-09,george-w-bush,"wants $120,000 to make a boring speech","You mean George Bush sends our soldiers into combat, they are severely wounded, and then he wants $120,000 to make a boring speech to them?",Hilary
48,49,2015-07-09,clare-o-connor,dummy writer,Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important…,Hilary
49,50,2015-07-09,forbes,failing,Dummy writer @Clare_OC from failing @Forbes magazine works so hard to make such trivial license deals look important…,Hilary
50,51,2015-07-09,clare-o-connor,dummy,"Dummy @Clare_OC from failing @Forbes magazine: NASCAR deal was 1 nite ballroom, ESPN was small golf outing...",Hilary
51,52,2015-07-09,forbes,failing,"Dummy @Clare_OC from failing @Forbes magazine: NASCAR deal was 1 nite ballroom, ESPN was small golf outing...",Hilary
52,53,2015-07-09,clare-o-connor,dummy,Dummy @Clare_OC @Forbes: Tiny fragrance deal with Parlux means nothing. Still sold at Trump Tower...,Hilary
53,54,2015-07-09,forbes,failed magazine,Why does a failed magazine like @Forbes constantly seek out trivial nonsense? Their circulation way down. @Clare_OC,Hilary
54,55,2015-07-09,forbes,circulation way down,Why does a failed magazine like @Forbes constantly seek out trivial nonsense? Their circulation way down. @Clare_OC,Hilary
55,56,2015-07-09,barack-obama,hollowing out our military,Obama and Republicans are hollowing out our military. Now want to cut troop levels. Lowest level in over 20 years.,Hilary
56,57,2015-07-09,republicans,hollowing out our military,Obama and Republicans are hollowing out our military. Now want to cut troop levels. Lowest level in over 20 years.,Hilary
57,58,2015-07-10,iran,doing many bad things behind our backs,Iran continues to delay the nuclear deal while doing many bad things behind our backs. Time to WALK and double the sanctions. Stop payments!,Hilary
58,59,2015-07-10,jeb-bush-supporters,everyone of those people who contributed are getting something to the detriment of America,Jeb Bush just announced he raised over $100M. Everyone of those people who contributed are getting something to the detriment of America!,Hilary
59,60,2015-07-11,macys,no guts no glory,I love that thousands of people are boycotting @Macys and cutting up credit cards. No guts no glory. This really backfired - love it!,Hilary
60,61,2015-07-11,univision,doing really badly,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!,Hilary
61,62,2015-07-11,univision,too much debt and not enough viewers,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!,Hilary
62,63,2015-07-11,univision,need money fast,Has anyone seen the financials of @Univision. They are doing really badly. Too much debt and not enough viewers. Need money fast. Funny!,Hilary
63,64,2015-07-12,mexico,unbelievable corruption,Mexico's biggest drug lord escapes from jail. Unbelievable corruption and USA is paying the price. I told you so!,Hilary
64,65,2015-07-12,chuck-todd,love watching him fail,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,Hilary
65,66,2015-07-12,chuck-todd,killing Meet the Press,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,Hilary
66,67,2015-07-12,chuck-todd,pathetic,Sleep eyes @ChuckTodd is killing Meet The Press. Isn't he pathetic? Love watching him fail!,Hilary
67,68,2015-07-13,chuck-todd,sleepy eyes,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!,Hilary
68,69,2015-07-13,chuck-todd,will be fired like a dog,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!,Hilary
69,70,2015-07-13,meet-the-press,ratings starved,I hear that sleepy eyes @chucktodd will be fired like a dog from ratings starved Meet The Press? I can't imagine what is taking so long!,Hilary
70,71,2015-07-13,mexico,"we get the killers, drugs & crime, they get the money!","....likewise, billions of dollars gets brought into Mexico through the border. We get the killers, drugs & crime, they get the money!",Hilary
71,72,2015-07-13,mexico,totally corrupt gov't,Mexico’s totally corrupt gov’t looks horrible with El Chapo’s escape—totally corrupt. U.S. paid them $3 billion.,Hilary
72,73,2015-07-13,mexico,totally corrupt,Mexico’s totally corrupt gov’t looks horrible with El Chapo’s escape—totally corrupt. U.S. paid them $3 billion.,Hilary
73,74,2015-07-14,new-york-daily-news,nobody reads it,Matt Harvey @Mets -- Don't let the @NYDailyNews get you down---nobody reads it. Play well.,Hilary
74,75,2015-07-15,karl-rove,clown,Why do people listen to clown @KarlRove on @FoxNews? Spent $430M & lost all races—a Bushy!,Hilary
75,76,2015-07-15,karl-rove,has no credibility,".@FoxNews should not put @KarlRove on—he has no credibility, a bush plant who called all races wrong.",Hilary
76,77,2015-07-15,karl-rove,a bush plant who called all races wrong,".@FoxNews should not put @KarlRove on—he has no credibility, a bush plant who called all races wrong.",Hilary
77,78,2015-07-16,karl-rove,"irrelevant clown, sweats and shakes nervously","Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12.",Hilary
78,79,2015-07-16,karl-rove,has zero cred,"Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12.",Hilary
79,80,2015-07-16,karl-rove,made fool of himself in '12,"Irrelevant clown @KarlRove sweats and shakes nervously on @FoxNews as he talks ""bull"" about me. Has zero cred. Made fool of himself in '12.",Hilary
80,81,2015-07-16,penn-jillette,boring guy,"I hear @pennjillette show on Broadway is terrible. Not surprised, boring guy (Penn). Without The Apprentice, show would have died long ago.",Hilary
81,82,2015-07-16,penn-jillette,goofball atheist,I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.,Hilary
82,83,2015-07-16,penn-jillette,never had a chance,I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.,Hilary
83,84,2015-07-16,penn-jillette,wrote letter to me begging for forgiveness,I loved firing goofball atheist Penn @pennjillette on The Apprentice. He never had a chance. Wrote letter to me begging for forgiveness.,Hilary
84,85,2015-07-16,macys,Macy's stores suck and they are bad for U.S.A.,I hope the boycott of @Macys continues forever. So many people are cutting up their cards. Macy's stores suck and they are bad for U.S.A.,Hilary
85,86,2015-07-16,karl-rove,a clown with zero credibility,.@FoxNews You shouldn’t have @KarlRove on the air—he’s a clown with zero credibility—a Bushy!,Hilary
86,87,2015-07-16,karl-rove,wasted $400 million,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews,Hilary
87,88,2015-07-16,karl-rove,didn't win one race,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews,Hilary
88,89,2015-07-16,karl-rove,total loser,.@KarlRove wasted $400 million + and didn’t win one race—a total loser. @FoxNews,Hilary
89,90,2015-07-16,united-states,out negotiated again,No deal is better than a bad deal. America out negotiated again. #Iran,Hilary
90,91,2015-07-16,lawrence-o-donnell,a fool,"Dopey @Lawrence O’Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!",Hilary
91,92,2015-07-16,lawrence-o-donnell,dopey,"Dopey @Lawrence O’Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!",Hilary
92,93,2015-07-16,the-last-word-with-lawrence-o-donnell,unwatchable,"Dopey @Lawrence O’Donnell, whose unwatchable show is dying in the ratings, said that my Apprentice $ numbers were wrong. He is a fool!",Hilary
93,94,2015-07-16,penn-jillette,worst show in Las Vegas,"The worst show in Las Vegas, in my opinion, is @pennjillette. Hokey garbage. New York show even worse!",Hilary
94,95,2015-07-16,penn-jillette,hokey garbage,"The worst show in Las Vegas, in my opinion, is @pennjillette. Hokey garbage. New York show even worse!",Hilary
95,96,2015-07-16,iran-deal,poses a direct national security threat,The Iran deal poses a direct national security threat. It must be stopped in Congress. Stand up Republicans!,Hilary
96,97,2015-07-16,john-mccain,dummy,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!,Hilary
97,98,2015-07-16,john-mccain,graduated last in his class,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!,Hilary
98,99,2015-07-16,john-mccain,should be defeated in the primaries,.@SenJohnMcCain should be defeated in the primaries. Graduated last in his class at Annapolis--dummy!,Hilary
99,100,2015-07-16,rick-perry,doesn't understand what the word demagoguery means,.@GovernorPerry just gave a pollster quote on me. He doesn't understand what the word demagoguery means.,Hilary
100,101,2015-07-16,rick-perry,failed on the border,.@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.,Hilary
101,102,2015-07-16,rick-perry,should be forced to take an IQ test,.@GovernorPerry failed on the border. He should be forced to take an IQ test before being allowed to enter the GOP debate.,Hilary
102,103,2015-07-18,arianna-huffington,liberal clown,The liberal clown @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.,Hilary
103,104,2015-07-18,huffington-post,money losing,The liberal clown @ariannahuff told her minions at the money losing @HuffingtonPost to cover me as enterainment. I am #1 in Huff Post Poll.,Hilary
104,105,2015-07-18,huffington-post,money-losing,It's driving @ariannahuff & the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!,Hilary
105,106,2015-07-18,huffington-post,they only write bad stories about me!,It's driving @ariannahuff & the money losing @HuffingtonPost post crazy that I am #1 in their poll and they only write bad stories about me!,Hilary
106,107,2015-07-18,cnn,ratings starved,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!,Hilary
107,108,2015-07-18,cnn,does not cover me accurately,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!,Hilary
108,109,2015-07-18,cnn,why can't they get it right,Ratings starved @CNN and @CNNPolitics does not cover me accurately. Why can't they get it right - it's really not that hard!,Hilary
109,110,2015-07-18,cnn,just plain dumb!,The $10 billion (net worth) is AFTER all debt and liabilities. So simple to understand but @CNN & @CNNPolitics is just plain dumb!,Hilary
110,111,2015-07-18,john-mccain,doing a lousy job in taking care of our Vets,"In addition to doing a lousy job in taking care of our Vets, John McCain let us down by losing to Barack Obama in his run for President!",Hilary
111,112,2015-07-18,john-mccain,let us down,"In addition to doing a lousy job in taking care of our Vets, John McCain let us down by losing to Barack Obama in his run for President!",Hilary
112,113,2015-07-18,john-mccain,has failed miserably,....John McCain has failed miserably to fix the situation and to make it possible for Veterans to successfully manage their lives.,Hilary
113,114,2015-07-18,john-mccain,"All he does is go on television is talk, talk, talk","All he does is go on television is talk, talk, talk, but incapable of doing anything.",Hilary
114,115,2015-07-18,john-mccain,incapable of doing anything.,"All he does is go on television is talk, talk, talk, but incapable of doing anything.",Hilary
115,116,2015-07-18,mitt-romney,why would anybody listen to @MittRomney?,"Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the way,so did John McCain!",Hilary
116,117,2015-07-18,mitt-romney,lost an election that should have easily been won,"Why would anybody listen to @MittRomney? He lost an election that should have easily been won against Obama. By the way,so did John McCain!",Hilary
117,118,2015-07-18,john-mccain,I am no fan,One of the reasons I am no fan of John McCain is that our Vets are being treated so badly by him and the politicians. I will fix VA quickly.,Hilary
118,119,2015-07-19,john-mccain,has done nothing,The Veterans Administration is in shambles and our veterans are suffering greatly. John McCain has done nothing to help them but talk.,Hilary
119,120,2015-07-20,wall-street-journal,ever-dwindling,"The ever dwindling @WSJ which is worth about 1/10 of what it was purchased for, is always hitting me politically. Who cares!",Hilary
120,121,2015-07-20,politicians,incompetent,We will soon be at a point with our incompetent politicians where we will be treating illegal immigrants better than our veterans.,Hilary
121,122,2015-07-20,wall-street-journal,looks like a tabloid,Look how small the pages have become @WSJ. Looks like a tabloid—saving money I assume!,Hilary
122,123,2015-07-21,rick-perry,did an absolutely horrible job of securing the border,Rick Perry did an absolutely horrible job of securing the border. He should be ashamed of himself. Gov. Abbott has since been terrific.,Hilary
123,124,2015-07-21,rick-perry,should be ashamed of himself,Rick Perry did an absolutely horrible job of securing the border. He should be ashamed of himself. Gov. Abbott has since been terrific.,Hilary
124,125,2015-07-21,chuck-todd,sleepy eyes,.@BreitbartNews is much smarter than sleepy eyes @chucktodd @nbc http://t.co/Lb3PBlN3u0 Thanks to Steve Bannon & real reporters.,Hilary
125,126,2015-07-21,des-moines-register,failing,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU",Hilary
126,127,2015-07-21,des-moines-register,ultra liberal,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU",Hilary
127,128,2015-07-21,des-moines-register,has no power in Iowa,"My response to the failing Des Moines Register, the ultra liberal paper that has no power in Iowa https://t.co/4bEAW1sDzU",Hilary
128,129,2015-07-22,???,failing,I hear a failing New York newspaper is going to publish one of my old cell phone numbers. So original - just one of many!,Hilary
129,130,2015-07-23,frank-luntz,knows nothing about me or my religion,.@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!,Hilary
130,131,2015-07-23,frank-luntz,came to my office looking for work,.@FrankLuntz knows nothing about me or my religion. Came to my office looking for work. I had NO interest. I will save the vets!,Hilary
131,132,2015-07-23,anderson-cooper-360,a waste,.@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!,Hilary
132,133,2015-07-23,anderson-cooper,Has the absolutely worst anti-Trump talking heads on his show,.@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!,Hilary
133,134,2015-07-23,tim-o-brien,dopey writer,.@AC360 Has the absolutely worst anti-Trump talking heads on his show. Dopey writer O'brian knows nothing about me or my wealth. A waste!,Hilary
134,135,2015-07-23,macys,"no guts, no glory","Boycott @Macys, no guts, no glory. Besides, there are far better stores!",Hilary
135,136,2015-07-23,macys,there are far better stores,"Boycott @Macys, no guts, no glory. Besides, there are far better stores!",Hilary
136,137,2015-07-23,tim-o-brien,dumb guy with no clue,What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!,Hilary
137,138,2015-07-23,tim-o-brien,really stupid talking head,What a waste of time being interviewed by @andersoncooper when he puts on really stupid talking heads likeTim O'Brien-dumb guy with no clue!,Hilary
138,139,2015-07-23,weekly-standard,small and slightly failing magazine,".@BillKristol Bill, your small and slightly failing magazine will be a giant success when you finally back Trump. Country will soar!",Hilary
139,140,2015-07-24,dana-perino,just not getting there,"You’re just not getting there @DanaPerino. Sometimes things just don’t work out, but don’t worry--- no problem!",Hilary
140,141,2015-07-24,politicians,experts in never facing any consequence,When will anyone be held accountable for the VA scandal? The politicians are experts in never facing any consequence.,Hilary
141,142,2015-07-25,des-moines-register,ultra liberal,The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!,Hilary
142,143,2015-07-25,des-moines-register,seriously failing,The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!,Hilary
143,144,2015-07-25,des-moines-register,they lie,The ultra liberal and seriously failing Des Moines Register is BEGGING my team for press credentials to my event in Iowa today-but they lie!,Hilary
144,145,2015-07-25,huffington-post,money-losing,"Isn't it funny that I am now #1 in the money losing @HuffingtonPost (poll), and by a big margin. Dummy @ariannahuff must be thrilled!",Hilary
145,146,2015-07-25,arianna-huffington,dummy,"Isn't it funny that I am now #1 in the money losing @HuffingtonPost (poll), and by a big margin. Dummy @ariannahuff must be thrilled!",Hilary
146,147,2015-07-25,macys,racial profiling,.@Macy’s is a big contributor to @PPFA . Anybody against Planned Parenthood should boycott racial profiling Macy’s.,Hilary
147,148,2015-07-25,scott-walker,not smart,".@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!",Hilary
148,149,2015-07-25,scott-walker,your very dumb fundraiser hit me very hard--- not smart!,".@ScottWalker despite your coming to my office to give me an award, your very dumb fundraiser hit me very hard--- not smart!",Hilary
149,150,2015-07-26,scott-walker,not presidential material,".@ScottWalker is a nice guy, but not presidential material. Wisconsin is in turmoil, borrowing to the hilt, and doing poorly in jobs etc.",Hilary
150,151,2015-07-27,scott-walker,"massive deficit, bad jobs forecast, a mess","When people find out how bad a job Scott Walker has done in WI, they won’t be voting for him. Massive deficit, bad jobs forecast, a mess.",Hilary
151,152,2015-07-27,steve-rattner,should have gone to prison,".@SteveRattner While I think you should have gone to prison for what you did, I guess Obama saved you. But watch – I will win!",Hilary
152,153,2015-07-27,john-sununu,couldn't get elected dog catcher,.@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa,Hilary
153,154,2015-07-27,john-sununu,forgot to mention my phenomenal biz success rate,.@GovernorSununu who couldn't get elected dog catcher in NH forgot to mention my phenomenal biz success rate: 99.2% https://t.co/WsA3Jnjhwa,Hilary
154,155,2015-07-27,marty-walsh,wasted a lot of time and money,"Boston's Mayor Walsh wasted a lot of time and money on going for the Olympics, and then he gave up. I don't want him negotiating for me!",Hilary
155,156,2015-07-28,barack-obama,all talk & no action,My @FoxNews int. with @seanhannity on Obama being all talk & no action & making America Great Again! http://t.co/RqP6MNnR7h,Hilary
156,157,2015-07-28,barack-obama,incompetent leader,.#IranDeal will go down as one of the dumbest & most dangerous misjudgments ever entered into in history of our country—incompetent leader!,Hilary
157,158,2015-07-28,iran-deal,one of the dumbest & most dangerous misjudgments ever,.#IranDeal will go down as one of the dumbest & most dangerous misjudgments ever entered into in history of our country—incompetent leader!,Hilary
158,159,2015-07-28,jeb-bush,just doesn't get it,A nation WITHOUT BORDERS is not a nation at all. We must have a wall. The rule of law matters. Jeb just doesn’t get it.,Hilary
159,160,2015-07-29,elizabeth-beck,she wanted to breast pump in front of me at dep.,".@CNN & @CNNPolitics did not say that lawyer Beck lost the case and I got legal fees. Also, she wanted to breast pump in front of me at dep.",Hilary
160,161,2015-07-29,elizabeth-beck,easy for me to beat,Lawyer Elizabeth Beck was easy for me to beat. Ask her clients if they are happy with her results against me. Got total win and legal fees.,Hilary
161,162,2015-07-29,elizabeth-beck,I loved beating her,".CNN & @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy",Hilary
162,163,2015-07-29,elizabeth-beck,did a terrible job against me,".CNN & @CNNPolitics Lawyer Elizabeth Beck did a terrible job against me, she lost (I even got legal fees). I loved beating her,she was easy",Hilary
163,164,2015-07-29,elizabeth-beck,knows nothing about me,.@CNN Why is somebody (Beck) I beat so soundly all of a sudden an expert on Donald Trump (all over television). She knows nothing about me.,Hilary
164,165,2015-07-29,people,know NOTHING,So many people who know nothing about me are commenting all over T.V. and the media as though they have great D.J.T. insight. Know NOTHING!,Hilary
165,166,2015-07-29,daily-beast,failing,Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!,Hilary
166,167,2015-07-29,daily-beast,money losing,Thank you @Morning_Joe for throwing the pathetic reporter from the failing and money losing Daily Beast off the air. Really cool!,Hilary
167,168,2015-07-29,the-media,lies,I truly LOVE all of the millions of people who are sticking with me despite so many media lies. There is a great SILENT MAJORITY looming!,Hilary
168,169,2015-07-29,bias-free-language-guide,an outrage,This is an outrage! Bias-Free Language Guide claims the word 'American' is 'problematic' -- WHAT?! http://t.co/vKz8a0ICGs,Hilary
169,170,2015-07-29,harry-hurt,dummy dope,"How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?",Hilary
170,171,2015-07-29,harry-hurt,wrote a failed book,"How can a dummy dope like Harry Hurt, who wrote a failed book about me but doesn’t know me or anything about me, be on TV discussing Trump?",Hilary
171,172,2015-07-29,harry-hurt,failed writer,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!,Hilary
172,173,2015-07-29,harry-hurt,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!,Hilary
173,174,2015-07-29,elizabeth-beck,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me,People like lawyer Elizabeth Beck and failed writer Harry Hurt & others talk about me but know nothing about me—crazy!,Hilary
